Name,Version,Region,Country,City,Success,SystemVersion,SystemVersionNumber,SystemVersionOS
iris-message-viewer,1.5.4,Catalonia,ES,Sabadell,1,IRIS for Windows (x86-64) 2022.3 (Build 606U) Mon Jan 30 2023 09:08:55 EST,2022.3,Windows
npm-iris,0.1.4,Catalonia,ES,Sabadell,1,IRIS for Windows (x86-64) 2022.3 (Build 606U) Mon Jan 30 2023 09:08:55 EST,2022.3,Windows
git-source-control,2.1.1,Kanagawa,JP,Kamakura,1,IRIS for Windows (x86-64) 2022.1 (Build 164U) Tue Apr 5 2022 01:20:41 EDT,2022.1,Windows
git-source-control,2.1.1,Kanagawa,JP,Kamakura,1,IRIS for Windows (x86-64) 2022.1 (Build 164U) Tue Apr 5 2022 01:20:41 EDT,2022.1,Windows
zpipe,1.1.0,Hesse,DE,Darmstadt,1,IRIS for Windows (x86-64) 2022.1 (Build 209U) Tue May 31 2022 12:16:40 EDT,2022.1,Windows
zpip,0.0.4,Hesse,DE,Darmstadt,1,IRIS for Windows (x86-64) 2022.1 (Build 209U) Tue May 31 2022 12:16:40 EDT,2022.1,Windows
dsw-map,1.0.10,Dubai,AE,Dubai,1,IRIS for UNIX (Ubuntu Server LTS for ARM64 Containers) 2023.1 (Build 229U) Fri Apr 14 2023 17:20:01 EDT,2023.1,UNIX
dsw-map,1.0.11,Dubai,AE,Dubai,1,IRIS for UNIX (Ubuntu Server LTS for ARM64 Containers) 2023.1 (Build 229U) Fri Apr 14 2023 17:20:01 EDT,2023.1,UNIX
dsw-map,1.0.11,Dubai,AE,Dubai,1,IRIS for UNIX (Ubuntu Server LTS for ARM64 Containers) 2023.1 (Build 218U) Wed Mar 15 2023 11:22:20 EDT,2023.1,UNIX
samples-bi,1.0.1,Massachusetts,US,Boston,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2023.1 (Build 219U) Tue Mar 21 2023 15:49:37 EDT,2023.1,UNIX
apps.rest,1.0.1,Massachusetts,US,Boston,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2023.1 (Build 219U) Tue Mar 21 2023 15:49:37 EDT,2023.1,UNIX
